[Sat Aug 16 17:33:10 GMT-03:00 2025] - Account: 3; Holder: MARIANA; Balance: 999990.0; [Operation: Withdraw of $10.0; Previous balance: $1000000.0]
[Sat Aug 16 17:49:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.78577261586E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.79789999603E11]
[Sat Aug 16 17:49:37 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.77364523569E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.78577261586E11]
[Sat Aug 16 17:49:37 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.76151785552E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.77364523569E11]
[Sat Aug 16 17:49:37 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.74939047535E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.76151785552E11]
[Sat Aug 16 17:49:37 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.73726309518E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.74939047535E11]
[Sat Aug 16 17:49:37 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.72513571501E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.73726309518E11]
[Sat Aug 16 17:49:37 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.71300833484E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.72513571501E11]
[Sat Aug 16 17:49:37 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.70088095467E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.71300833484E11]
[Sat Aug 16 17:49:38 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.6887535745E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.70088095467E11]
[Sat Aug 16 17:49:38 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.67662619433E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.6887535745E11]
[Sat Aug 16 17:49:38 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.66449881416E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.67662619433E11]
[Sat Aug 16 17:49:38 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.65237143399E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.66449881416E11]
[Sat Aug 16 17:49:38 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.64024405382E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.65237143399E11]
[Sat Aug 16 17:49:38 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.62811667365E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.64024405382E11]
[Sat Aug 16 17:49:38 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.61598929348E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.62811667365E11]
[Sat Aug 16 17:49:38 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.60386191331E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.61598929348E11]
[Sat Aug 16 17:49:39 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.59173453314E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.60386191331E11]
[Sat Aug 16 17:49:39 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.57960715297E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.59173453314E11]
[Sat Aug 16 17:49:39 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.5674797728E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.57960715297E11]
[Sat Aug 16 17:49:39 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.55535239263E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.5674797728E11]
[Sat Aug 16 17:49:39 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.54322501246E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.55535239263E11]
[Sat Aug 16 17:49:39 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.53109763229E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.54322501246E11]
[Sat Aug 16 17:49:39 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.51897025212E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.53109763229E11]
[Sat Aug 16 17:49:39 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.50684287195E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.51897025212E11]
[Sat Aug 16 17:49:40 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.49471549178E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.50684287195E11]
[Sat Aug 16 17:49:40 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.48258811161E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.49471549178E11]
[Sat Aug 16 17:49:40 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.47046073144E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.48258811161E11]
[Sat Aug 16 17:49:40 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.45833335127E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.47046073144E11]
[Sat Aug 16 17:49:40 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.4462059711E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.45833335127E11]
[Sat Aug 16 17:49:40 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.43407859093E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.4462059711E11]
[Sat Aug 16 17:49:40 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.42195121076E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.43407859093E11]
[Sat Aug 16 17:49:40 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.40982383059E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.42195121076E11]
[Sat Aug 16 17:49:41 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.39769645042E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.40982383059E11]
[Sat Aug 16 17:49:41 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.38556907025E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.39769645042E11]
[Sat Aug 16 17:49:41 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.37344169008E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.38556907025E11]
[Sat Aug 16 17:49:41 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.36131430991E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.37344169008E11]
[Sat Aug 16 17:49:41 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.34918692974E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.36131430991E11]
[Sat Aug 16 17:49:41 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.33705954957E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.34918692974E11]
[Sat Aug 16 17:49:41 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.3249321694E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.33705954957E11]
[Sat Aug 16 17:49:41 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.31280478923E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.3249321694E11]
[Sat Aug 16 17:49:42 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.30067740906E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.31280478923E11]
[Sat Aug 16 17:49:42 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.28855002889E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.30067740906E11]
[Sat Aug 16 17:49:42 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.27642264872E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.28855002889E11]
[Sat Aug 16 17:49:42 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.26429526855E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.27642264872E11]
[Sat Aug 16 17:49:42 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.25216788838E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.26429526855E11]
[Sat Aug 16 17:49:42 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.24004050821E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.25216788838E11]
[Sat Aug 16 17:49:42 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.22791312804E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.24004050821E11]
[Sat Aug 16 17:49:42 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.21578574787E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.22791312804E11]
[Sat Aug 16 17:49:43 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.2036583677E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.21578574787E11]
[Sat Aug 16 17:49:43 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.19153098753E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.2036583677E11]
[Sat Aug 16 17:49:43 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.17940360736E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.19153098753E11]
[Sat Aug 16 17:49:43 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.16727622719E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.17940360736E11]
[Sat Aug 16 17:49:43 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.15514884702E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.16727622719E11]
[Sat Aug 16 17:49:43 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.14302146685E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.15514884702E11]
[Sat Aug 16 17:49:43 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.13089408668E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.14302146685E11]
[Sat Aug 16 17:49:43 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.11876670651E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.13089408668E11]
[Sat Aug 16 17:49:44 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.10663932634E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.11876670651E11]
[Sat Aug 16 17:49:44 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.09451194617E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.10663932634E11]
[Sat Aug 16 17:49:44 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.082384566E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.09451194617E11]
[Sat Aug 16 17:49:44 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.07025718583E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.082384566E11]
[Sat Aug 16 17:49:44 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.05812980566E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.07025718583E11]
[Sat Aug 16 17:49:44 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.04600242549E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.05812980566E11]
[Sat Aug 16 17:49:48 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 8.9247286237E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $9.04600242549E11]
[Sat Aug 16 17:49:48 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 8.80345482191E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $8.9247286237E11]
[Sat Aug 16 17:49:49 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 8.68218102012E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $8.80345482191E11]
[Sat Aug 16 17:49:49 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 8.56090721833E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $8.68218102012E11]
[Sat Aug 16 17:49:49 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 8.43963341654E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $8.56090721833E11]
[Sat Aug 16 17:49:49 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 8.31835961475E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $8.43963341654E11]
[Sat Aug 16 17:49:49 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 8.19708581296E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $8.31835961475E11]
[Sat Aug 16 17:49:49 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 8.07581201117E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $8.19708581296E11]
[Sat Aug 16 17:49:49 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 7.95453820938E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $8.07581201117E11]
[Sat Aug 16 17:49:50 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 7.83326440759E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $7.95453820938E11]
[Sat Aug 16 17:49:50 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 7.7119906058E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $7.83326440759E11]
[Sat Aug 16 17:49:50 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 7.59071680401E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $7.7119906058E11]
[Sat Aug 16 17:49:50 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 7.46944300222E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $7.59071680401E11]
[Sat Aug 16 17:49:50 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 7.34816920043E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $7.46944300222E11]
[Sat Aug 16 17:49:50 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 7.22689539864E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $7.34816920043E11]
[Sat Aug 16 17:49:50 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 7.10562159685E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $7.22689539864E11]
[Sat Aug 16 17:49:50 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 6.98434779506E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $7.10562159685E11]
[Sat Aug 16 17:49:51 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 6.86307399327E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $6.98434779506E11]
[Sat Aug 16 17:49:51 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 6.74180019148E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $6.86307399327E11]
[Sat Aug 16 17:49:51 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 6.62052638969E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $6.74180019148E11]
[Sat Aug 16 17:49:51 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 6.4992525879E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $6.62052638969E11]
[Sat Aug 16 17:49:51 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 6.37797878611E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $6.4992525879E11]
[Sat Aug 16 17:49:51 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 6.25670498432E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $6.37797878611E11]
[Sat Aug 16 17:49:51 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 6.13543118253E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $6.25670498432E11]
[Sat Aug 16 17:49:51 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 6.01415738074E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $6.13543118253E11]
[Sat Aug 16 17:49:52 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 5.89288357895E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $6.01415738074E11]
[Sat Aug 16 17:49:52 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 5.77160977716E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $5.89288357895E11]
[Sat Aug 16 17:49:52 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 5.65033597537E11; [Operation: Withdraw of $1.2127380179E10; Previous balance: $5.77160977716E11]
[Sat Aug 16 17:52:07 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 7000.0; [Operation: Withdraw of $1000.0; Previous balance: $8000.0]
[Sat Aug 16 17:52:10 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 6000.0; [Operation: Withdraw of $1000.0; Previous balance: $7000.0]
[Sat Aug 16 17:52:11 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 5000.0; [Operation: Withdraw of $1000.0; Previous balance: $6000.0]
[Sat Aug 16 17:52:11 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 4000.0; [Operation: Withdraw of $1000.0; Previous balance: $5000.0]
[Sat Aug 16 17:52:18 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 5000.0; [Operation: Deposit of $1000.0; Previous balance: $4000.0]
[Sat Aug 16 17:52:20 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 6000.0; [Operation: Deposit of $1000.0; Previous balance: $5000.0]
[Sat Aug 16 17:52:20 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 7000.0; [Operation: Deposit of $1000.0; Previous balance: $6000.0]
[Sat Aug 16 17:52:21 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 8000.0; [Operation: Deposit of $1000.0; Previous balance: $7000.0]
[Sat Aug 16 17:52:23 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 9000.0; [Operation: Deposit of $1000.0; Previous balance: $8000.0]
[Sat Aug 16 17:52:23 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 10000.0; [Operation: Deposit of $1000.0; Previous balance: $9000.0]
[Sat Aug 16 17:52:24 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 11000.0; [Operation: Deposit of $1000.0; Previous balance: $10000.0]
[Sat Aug 16 17:52:24 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 12000.0; [Operation: Deposit of $1000.0; Previous balance: $11000.0]
[Sat Aug 16 17:52:24 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 13000.0; [Operation: Deposit of $1000.0; Previous balance: $12000.0]
[Sat Aug 16 17:52:25 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 14000.0; [Operation: Deposit of $1000.0; Previous balance: $13000.0]
[Sat Aug 16 17:52:25 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 15000.0; [Operation: Deposit of $1000.0; Previous balance: $14000.0]
[Sat Aug 16 17:52:25 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 16000.0; [Operation: Deposit of $1000.0; Previous balance: $15000.0]
[Sat Aug 16 17:52:25 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 17000.0; [Operation: Deposit of $1000.0; Previous balance: $16000.0]
[Sat Aug 16 17:52:25 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 18000.0; [Operation: Deposit of $1000.0; Previous balance: $17000.0]
[Sat Aug 16 17:52:25 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 19000.0; [Operation: Deposit of $1000.0; Previous balance: $18000.0]
[Sat Aug 16 17:52:26 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 20000.0; [Operation: Deposit of $1000.0; Previous balance: $19000.0]
[Sat Aug 16 17:52:26 GMT-03:00 2025] - Account: 8; Holder: mari; Balance: 21000.0; [Operation: Deposit of $1000.0; Previous balance: $20000.0]
[Tue Aug 19 20:06:19 BRT 2025] - Account: 10; Holder: joao; Balance: 11990.0; [Operation: Withdraw of $10.0; Previous balance: $12000.0]
[Tue Aug 19 21:09:55 BRT 2025] - Account: 1; Holder: lucas; Balance: 11988.0; [Operation: Withdraw of $12.0; Previous balance: $12000.0]
